country_id,state_id,fips,name,aliases,type,geo_lat,geo_long
US,CA,06057,Nevada County,,county,38.113518,-122.601875
US,CA,06059,Orange County,,county,33.787874,-117.852006
US,CA,06061,Placer County,,county,38.751945,-121.286858
US,CA,06063,Plumas County,,county,34.029064,-118.403594
US,CA,06065,Riverside County,,county,37.121665,-122.119117
US,CA,06067,Sacramento County,,county,38.601641,-121.430398
US,CA,06069,San Benito County,,county,36.501543,-121.086633
US,CA,06071,San Bernardino County,,county,34.063682,-117.284719
US,CA,06073,San Diego County,,county,32.588319,-117.08765
US,CA,06075,San Francisco County,,county,37.805344,-122.408162
US,CA,06077,San Joaquin County,,county,36.6042,-119.453473
US,CA,06079,San Luis Obispo County,,county,35.180289,-120.730674
US,CA,06081,San Mateo County,,county,37.439655,-122.179927
US,CA,06083,Santa Barbara County,,county,34.415191,-119.688104
US,CA,06085,Santa Clara County,,county,37.347359,-121.94185
US,CA,06087,Santa Cruz County,,county,36.958582,-122.025983
US,CA,06089,Shasta County,,county,38.450153,-121.829833
US,CA,06091,Sierra County,,county,38.340655,-121.953817
US,CA,06093,Siskiyou County,,county,38.411049,-121.377888
US,CA,06095,Solano County,,county,38.48515,-121.693669
US,CA,06097,Sonoma County,,county,38.414811,-122.546653
US,CA,06099,Stanislaus County,,county,38.700351,-121.266424
US,CA,06101,Sutter County,,county,39.164589,-121.740467
US,CA,06103,Tehama County,,county,40.026962,-122.126166
US,CA,06105,Trinity County,,county,38.345667,-121.968752
US,CA,06107,Tulare County,,county,36.209035,-119.372005
US,CA,06109,Tuolumne County,,county,37.968166,-120.233105
US,CA,06111,Ventura County,,county,34.353408,-119.428151
US,CA,06113,Yolo County,,county,38.274859,-120.967204
US,CA,06115,Yuba County,,county,38.653908,-121.337761
US,CO,08001,Adams County,,county,39.87363,-104.33791
US,CO,08003,Alamosa County,,county,37.472574,-105.872938
US,CO,08005,Arapahoe County,,county,38.946365,-105.06012
US,CO,08007,Archuleta County,,county,37.1936,-107.04833
US,CO,08009,Baca County,,county,37.31918,-102.56047
US,CO,08011,Bent County,,county,39.752795,-104.432002
US,CO,08013,Boulder County,,county,40.053006,-105.406462
US,CO,08014,Broomfield County,,county,39.891456,-104.988542
US,CO,08015,Chaffee County,,county,38.7469,-106.19407
US,CO,08017,Cheyenne County,,county,38.82794,-102.6034
US,CO,08019,Clear Creek County,,county,40.453387,-104.916259
US,CO,08021,Conejos County,,county,37.172145,-105.985349
US,CO,08023,Costilla County,,county,37.2781,-105.42827
US,CO,08025,Crowley County,,county,38.194675,-103.84938
US,CO,08027,Custer County,,county,38.10868,-105.36747
US,CO,08029,Delta County,,county,38.866422,-107.589706
US,CO,08031,Denver County,,county,39.770206,-105.020537
US,CO,08033,Dolores County,,county,37.349053,-108.554555
US,CO,08035,Douglas County,,county,39.32972,-104.92956
US,CO,08037,Eagle County,,county,39.581527,-106.768905
US,CO,08039,Elbert County,,county,39.216467,-104.536343
US,CO,08041,El Paso County,,county,38.83209,-104.52558
US,CO,08043,Fremont County,,county,38.47297,-105.43966
US,CO,08045,Garfield County,,county,38.434419,-105.21544
US,CO,08047,Gilpin County,,county,39.85756,-105.52253
US,CO,08049,Grand County,,county,37.955391,-104.836724
US,CO,08051,Gunnison County,,county,38.542175,-106.934835
US,CO,08053,Hinsdale County,,county,37.82134,-107.30031
US,CO,08055,Huerfano County,,county,37.68468,-104.96058
US,CO,08057,Jackson County,,county,40.66643,-106.34279
US,CO,08059,Jefferson County,,county,39.406804,-105.826456
US,CO,08061,Kiowa County,,county,39.218651,-104.53635
US,CO,08063,Kit Carson County,,county,38.10167,-102.95679
US,CO,08065,Lake County,,county,39.20238,-106.34484
US,CO,08067,La Plata County,,county,37.28656,-107.84334
US,CO,08069,Larimer County,,county,40.66641,-105.46116
US,CO,08071,Las Animas County,,county,38.069928,-103.234398
US,CO,08073,Lincoln County,,county,38.435789,-105.18562
US,CO,08075,Logan County,,county,38.235827,-104.612636
US,CO,08077,Mesa County,,county,39.166254,-108.139848
US,CO,08079,Mineral County,,county,37.669,-106.92409
US,CO,08081,Moffat County,,county,37.999231,-105.909669
US,CO,08083,Montezuma County,,county,39.607652,-105.939791
US,CO,08085,Montrose County,,county,38.464207,-107.867488
US,CO,08087,Morgan County,,county,37.170327,-105.928526
US,CO,08089,Otero County,,county,37.9027,-103.71645
US,CO,08091,Ouray County,,county,38.466692,-107.842129
US,CO,08093,Park County,,county,39.1193,-105.71717
US,CO,08095,Phillips County,,county,40.59388,-102.35758
US,CO,08097,Pitkin County,,county,38.535972,-106.001732
US,CO,08099,Prowers County,,county,38.066891,-103.219912
